id,date,total,val
a,1985-02-04,0.3935550074650053,-979.0616718111498
b,1985-02-04,1.0527135680058275,571.3023880510789
c,1985-02-04,-0.4279973767303929,-1700.5825705209686
d,1985-02-04,0.5012397108492689,-400.0150597906814
e,1985-02-04,-0.2451400323746568,96.32692100819796
f,1985-02-04,0.0678278637876758,-968.5473569761787
g,1985-02-04,-0.3714086585360971,1000.7707028412896
h,1985-02-04,0.3510878839679578,-1277.1418636532117
i,1985-02-04,0.25335292362169165,743.7734484026407
j,1985-02-04,0.0902978730398311,-1358.3917449070573
a,1985-02-04,0.7849958516895374,987.9568981544177
b,1985-02-04,-1.1341877979518034,-78.7809508692051
c,1985-02-04,1.3080582908324618,-287.21488340769235
d,1985-02-04,-2.015127512138335,109.29725244643689
e,1985-02-04,1.3367690801888816,459.1352178861722
f,1985-02-04,-0.2833980738941664,-1131.40940176206
g,1985-02-04,2.797718476804905,162.95936904037936
h,1985-02-04,0.11844816674238133,1182.302868610576
i,1985-02-04,-1.322015289633731,926.9322591473223
j,1985-02-04,-0.8677801654891842,301.8839134212734
a,1985-02-04,-1.7030230378580589,766.6173848965702
b,1985-02-04,-0.11114688481510764,1190.957013907457
c,1985-02-04,0.3434313853058821,-720.5429025828784
d,1985-02-04,0.2163878197483928,632.770708548348
e,1985-02-04,-0.6562697711282778,-2277.049414991092
f,1985-02-04,1.111365110438326,-1545.3679087430844
g,1985-02-04,0.10738583352044692,738.2541577254071
h,1985-02-04,0.7103617357656172,-194.67135486848815
i,1985-02-04,0.9343875418224614,669.5014822154632
j,1985-02-04,-1.683459235932781,601.9985092327929
a,1985-02-04,-0.25400156860539386,1879.1761238789607
b,1985-02-04,-0.8174328726217691,-1451.1520268983973
c,1985-02-04,1.2353858981964214,1604.2100809155115
d,1985-02-04,0.31388033500596657,-366.87286934628503
e,1985-02-04,-0.2473045454737915,-1463.5482860158343
f,1985-02-04,-0.28984557767524827,413.52408104540115
g,1985-02-04,-0.816879651194137,-2751.245751459583
h,1985-02-04,-0.1514896793626944,-983.6610111800925
i,1985-02-04,-0.9036264228177413,281.0720476633753
j,1985-02-04,-0.5083965437487764,-118.62845242553455
a,1985-02-04,0.6173996552077337,54.90886149948208
b,1985-02-04,1.3513491519271839,-39.19699501144254
c,1985-02-04,-0.32860254233726416,603.7140509813819
d,1985-02-04,0.8195706861806293,203.8775683513611
e,1985-02-04,-0.613339387332881,432.7190324779458
f,1985-02-04,-0.3551230514732969,780.847776560154
g,1985-02-04,-0.16667563906542815,-666.388007599604
h,1985-02-04,0.7561160831685071,1420.0335055510768
i,1985-02-04,-0.5243089286326298,822.0202443647817
j,1985-02-04,1.3592717051935976,666.738391113384
a,1985-02-04,-0.44682525989625016,272.9116311901143
b,1985-02-04,-0.5442570723269068,2005.0700103969016
c,1985-02-04,0.3232858509019923,-987.5976444687093
d,1985-02-04,0.4468658225625348,438.4955933825087
e,1985-02-04,-0.22765398647300925,2386.096433160404
f,1985-02-04,-0.6434608173515204,-39.367891679280795
g,1985-02-04,0.9544783660084599,186.40886727475012
h,1985-02-04,-1.2579549632668448,1200.683872228257
i,1985-02-04,-0.15999599938189626,-1367.5254386922836
j,1985-02-04,-1.0181461427656386,-855.2568220125527
a,1985-02-04,-1.5692746569164355,-1666.9765126351617
b,1985-02-04,1.8162681558166882,350.1854555817447
c,1985-02-04,1.1113178526619274,-620.8000743247204
